Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptoms
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, nausea, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'nausea', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'family_history', 'abdominal_pain']"
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history, abdominal_pain,"['fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes', 'family_history', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, dark_urine, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'fatigue', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'loss_of_appetite', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, abdominal_pain,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'abdominal_pain']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea']"
Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'high_fever', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, dark_urine, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'dark_urine', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, nausea, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'nausea', 'loss_of_appetite']"
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, loss_of_appetite,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'loss_of_appetite']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']"
Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload, abdominal_pain,"['yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload', 'abdominal_pain']"
Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload, abdominal_pain,"['vomiting', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload', 'abdominal_pain']"
Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload, abdominal_pain,"['vomiting', 'yellowish_skin', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload', 'abdominal_pain']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload, abdominal_pain,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload', 'abdominal_pain']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, fluid_overload, abdominal_pain,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'history_of_alcohol_consumption', 'fluid_overload', 'abdominal_pain']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, fluid_overload, abdominal_pain,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'fluid_overload', 'abdominal_pain']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, abdominal_pain,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'abdominal_pain']"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload,"['vomiting', 'yellowish_skin', 'abdominal_pain', 'swelling_of_stomach', 'distention_of_abdomen', 'history_of_alcohol_consumption', 'fluid_overload']"
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness']"
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness']"
Tuberculosis, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating,"['vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'sweating']"
Tuberculosis, chills, fatigue, weight_loss, cough, high_fever, breathlessness, sweating,"['chills', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'sweating']"
Tuberculosis, chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating,"['chills', 'vomiting', 'weight_loss', 'cough', 'high_fever', 'breathlessness', 'sweating']"
Tuberculosis, chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating,"['chills', 'vomiting', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating']"
Tuberculosis, chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'breathlessness', 'sweating']"
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, breathlessness, sweating,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'breathlessness', 'sweating']"
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'sweating']"
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness,"['chills', 'vomiting', 'fatigue', 'weight_loss', 'cough', 'high_fever', 'breathlessness']"
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes']"
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes']"
Common Cold, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise,"['chills', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise']"
Common Cold, continuous_sneezing, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise,"['continuous_sneezing', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise']"
Common Cold, continuous_sneezing, chills, cough, high_fever, headache, swelled_lymph_nodes, malaise,"['continuous_sneezing', 'chills', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise']"
Common Cold, continuous_sneezing, chills, fatigue, high_fever, headache, swelled_lymph_nodes, malaise,"['continuous_sneezing', 'chills', 'fatigue', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise']"
Common Cold, continuous_sneezing, chills, fatigue, cough, headache, swelled_lymph_nodes, malaise,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'headache', 'swelled_lymph_nodes', 'malaise']"
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, swelled_lymph_nodes, malaise,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'swelled_lymph_nodes', 'malaise']"
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, malaise,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'headache', 'malaise']"
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes,"['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes']"
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise,"['chills', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise']"
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise,"['chills', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise']"
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise,"['chills', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise']"
Pneumonia, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'phlegm']"
Pneumonia, chills, cough, high_fever, breathlessness, sweating, malaise, phlegm,"['chills', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'phlegm']"
Pneumonia, chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm,"['chills', 'fatigue', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'phlegm']"
Pneumonia, chills, fatigue, cough, breathlessness, sweating, malaise, phlegm,"['chills', 'fatigue', 'cough', 'breathlessness', 'sweating', 'malaise', 'phlegm']"
Pneumonia, chills, fatigue, cough, high_fever, sweating, malaise, phlegm,"['chills', 'fatigue', 'cough', 'high_fever', 'sweating', 'malaise', 'phlegm']"
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm,"['chills', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'malaise', 'phlegm']"
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm,"['chills', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'phlegm']"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, nausea, abdominal_pain,"['constipation', 'pain_during_bowel_movements', 'pain_in_anal_region', 'bloody_stool', 'irritation_in_anus', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, nausea, abdominal_pain,"['constipation', 'pain_during_bowel_movements', 'pain_in_anal_region', 'bloody_stool', 'irritation_in_anus', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, nausea, abdominal_pain,"['constipation', 'pain_during_bowel_movements', 'pain_in_anal_region', 'bloody_stool', 'irritation_in_anus', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, headache, nausea, abdominal_pain,"['pain_during_bowel_movements', 'pain_in_anal_region', 'bloody_stool', 'irritation_in_anus', 'headache', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus, headache, nausea, abdominal_pain,"['constipation', 'pain_in_anal_region', 'bloody_stool', 'irritation_in_anus', 'headache', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus, headache, nausea, abdominal_pain,"['constipation', 'pain_during_bowel_movements', 'bloody_stool', 'irritation_in_anus', 'headache', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus, headache, nausea, abdominal_pain,"['constipation', 'pain_during_bowel_movements', 'pain_in_anal_region', 'irritation_in_anus', 'headache', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, headache, nausea, abdominal_pain,"['constipation', 'pain_during_bowel_movements', 'pain_in_anal_region', 'bloody_stool', 'headache', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, nausea, abdominal_pain,"['constipation', 'pain_during_bowel_movements', 'pain_in_anal_region', 'bloody_stool', 'irritation_in_anus', 'nausea', 'abdominal_pain']"
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, nausea, abdominal_pain,"['constipation', 'pain_during_bowel_movements', 'pain_in_anal_region', 'bloody_stool', 'irritation_in_anus', 'nausea', 'abdominal_pain']"
Heart attack, vomiting, breathlessness, sweating, chest_pain, headache, nausea, abdominal_pain,"['vomiting', 'breathlessness', 'sweating', 'chest_pain', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, vomiting, breathlessness, sweating, chest_pain, headache, nausea, abdominal_pain,"['vomiting', 'breathlessness', 'sweating', 'chest_pain', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, breathlessness, sweating, chest_pain, high_fever, headache, nausea, abdominal_pain,"['breathlessness', 'sweating', 'chest_pain', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, vomiting, sweating, chest_pain, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'sweating', 'chest_pain', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, vomiting, breathlessness, chest_pain, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'breathlessness', 'chest_pain', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, vomiting, breathlessness, sweating, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'breathlessness', 'sweating', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, vomiting, breathlessness, sweating, chest_pain, headache, nausea, abdominal_pain,"['vomiting', 'breathlessness', 'sweating', 'chest_pain', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, breathlessness, sweating, chest_pain, high_fever, headache, nausea, abdominal_pain,"['breathlessness', 'sweating', 'chest_pain', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, vomiting, sweating, chest_pain, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'sweating', 'chest_pain', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Heart attack, vomiting, breathlessness, chest_pain, high_fever, headache, nausea, abdominal_pain,"['vomiting', 'breathlessness', 'chest_pain', 'high_fever', 'headache', 'nausea', 'abdominal_pain']"
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,"['fatigue', 'cramps', 'bruising', 'obesity', 'swollen_legs', 'swollen_blood_vessels', 'prominent_veins_on_calf']"
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,"['fatigue', 'cramps', 'bruising', 'obesity', 'swollen_legs', 'swollen_blood_vessels', 'prominent_veins_on_calf']"
Varicose veins, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, abdominal_pain,"['cramps', 'bruising', 'obesity', 'swollen_legs', 'swollen_blood_vessels', 'prominent_veins_on_calf', 'abdominal_pain']"
Varicose veins, fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, abdominal_pain,"['fatigue', 'bruising', 'obesity', 'swollen_legs', 'swollen_blood_vessels', 'prominent_veins_on_calf', 'abdominal_pain']"
Varicose veins, fatigue, cramps, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, abdominal_pain,"['fatigue', 'cramps', 'obesity', 'swollen_legs', 'swollen_blood_vessels', 'prominent_veins_on_calf', 'abdominal_pain']"
Varicose veins, fatigue, cramps, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, abdominal_pain,"['fatigue', 'cramps', 'bruising', 'swollen_legs', 'swollen_blood_vessels', 'prominent_veins_on_calf', 'abdominal_pain']"
Varicose veins, fatigue, cramps, bruising, obesity, swollen_blood_vessels, prominent_veins_on_calf, abdominal_pain,"['fatigue', 'cramps', 'bruising', 'obesity', 'swollen_blood_vessels', 'prominent_veins_on_calf', 'abdominal_pain']"
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf, abdominal_pain,"['fatigue', 'cramps', 'bruising', 'obesity', 'swollen_legs', 'prominent_veins_on_calf', 'abdominal_pain']"
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, abdominal_pain,"['fatigue', 'cramps', 'bruising', 'obesity', 'swollen_legs', 'swollen_blood_vessels', 'abdominal_pain']"
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf, abdominal_pain,"['fatigue', 'cramps', 'bruising', 'obesity', 'swollen_legs', 'prominent_veins_on_calf', 'abdominal_pain']"
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes,"['fatigue', 'weight_gain', 'cold_hands_and_feets', 'mood_swings', 'lethargy', 'dizziness', 'puffy_face_and_eyes']"
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes,"['fatigue', 'weight_gain', 'cold_hands_and_feets', 'mood_swings', 'lethargy', 'dizziness', 'puffy_face_and_eyes']"
Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid,"['weight_gain', 'cold_hands_and_feets', 'mood_swings', 'lethargy', 'dizziness', 'puffy_face_and_eyes', 'enlarged_thyroid']"
Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid,"['weight_gain', 'cold_hands_and_feets', 'mood_swings', 'lethargy', 'dizziness', 'puffy_face_and_eyes', 'enlarged_thyroid']"
Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid,"['fatigue', 'cold_hands_and_feets', 'mood_swings', 'lethargy', 'dizziness', 'puffy_face_and_eyes', 'enlarged_thyroid']"
Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid,"['fatigue', 'weight_gain', 'mood_swings', 'lethargy', 'dizziness', 'puffy_face_and_eyes', 'enlarged_thyroid']"
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid,"['fatigue', 'weight_gain', 'cold_hands_and_feets', 'lethargy', 'dizziness', 'puffy_face_and_eyes', 'enlarged_thyroid']"
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, dizziness, puffy_face_and_eyes, enlarged_thyroid,"['fatigue', 'weight_gain', 'cold_hands_and_feets', 'mood_swings', 'dizziness', 'puffy_face_and_eyes', 'enlarged_thyroid']"
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, puffy_face_and_eyes, enlarged_thyroid,"['fatigue', 'weight_gain', 'cold_hands_and_feets', 'mood_swings', 'lethargy', 'puffy_face_and_eyes', 'enlarged_thyroid']"
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, enlarged_thyroid,"['fatigue', 'weight_gain', 'cold_hands_and_feets', 'mood_swings', 'lethargy', 'dizziness', 'enlarged_thyroid']"
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate,"['fatigue', 'mood_swings', 'weight_loss', 'restlessness', 'sweating', 'diarrhoea', 'fast_heart_rate']"
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate,"['fatigue', 'mood_swings', 'weight_loss', 'restlessness', 'sweating', 'diarrhoea', 'fast_heart_rate']"
Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger,"['mood_swings', 'weight_loss', 'restlessness', 'sweating', 'diarrhoea', 'fast_heart_rate', 'excessive_hunger']"
Hyperthyroidism, fatigue, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger,"['fatigue', 'weight_loss', 'restlessness', 'sweating', 'diarrhoea', 'fast_heart_rate', 'excessive_hunger']"
Hyperthyroidism, fatigue, mood_swings, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger,"['fatigue', 'mood_swings', 'restlessness', 'sweating', 'diarrhoea', 'fast_heart_rate', 'excessive_hunger']"
Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating, diarrhoea, fast_heart_rate, excessive_hunger,"['fatigue', 'mood_swings', 'weight_loss', 'sweating', 'diarrhoea', 'fast_heart_rate', 'excessive_hunger']"
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, diarrhoea, fast_heart_rate, excessive_hunger,"['fatigue', 'mood_swings', 'weight_loss', 'restlessness', 'diarrhoea', 'fast_heart_rate', 'excessive_hunger']"
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, fast_heart_rate, excessive_hunger,"['fatigue', 'mood_swings', 'weight_loss', 'restlessness', 'sweating', 'fast_heart_rate', 'excessive_hunger']"
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, excessive_hunger,"['fatigue', 'mood_swings', 'weight_loss', 'restlessness', 'sweating', 'diarrhoea', 'excessive_hunger']"
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate,"['fatigue', 'mood_swings', 'weight_loss', 'restlessness', 'sweating', 'diarrhoea', 'fast_heart_rate']"
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred_and_distorted_vision']"
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred_and_distorted_vision']"
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred_and_distorted_vision']"
Hypoglycemia, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger,"['fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred_and_distorted_vision', 'excessive_hunger']"
Hypoglycemia, vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger,"['vomiting', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred_and_distorted_vision', 'excessive_hunger']"
Hypoglycemia, vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger,"['vomiting', 'fatigue', 'sweating', 'headache', 'nausea', 'blurred_and_distorted_vision', 'excessive_hunger']"
Hypoglycemia, vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger,"['vomiting', 'fatigue', 'anxiety', 'headache', 'nausea', 'blurred_and_distorted_vision', 'excessive_hunger']"
Hypoglycemia, vomiting, fatigue, anxiety, sweating, nausea, blurred_and_distorted_vision, excessive_hunger,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'nausea', 'blurred_and_distorted_vision', 'excessive_hunger']"
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger']"
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, excessive_hunger,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'excessive_hunger']"
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking, abdominal_pain,"['joint_pain', 'neck_pain', 'knee_pain', 'hip_joint_pain', 'swelling_joints', 'painful_walking', 'abdominal_pain']"
